iter	Passed	Remaining
0	139	139647
1	141	70781
2	143	47827
3	145	36243
4	146	29176
5	147	24436
6	148	21059
7	149	18509
8	150	16525
9	150	14945
10	151	13656
11	152	12580
12	153	11671
13	154	10889
14	155	10212
15	156	9619
16	157	9094
17	158	8629
18	159	8216
19	159	7838
20	160	7498
21	161	7191
22	162	6909
23	163	6649
24	164	6412
25	165	6191
26	166	6010
27	167	5823
28	168	5647
29	169	5482
30	170	5328
31	171	5183
32	172	5047
33	173	4919
34	174	4797
35	174	4683
36	175	4576
37	176	4474
38	177	4377
39	178	4285
40	179	4198
41	180	4119
42	181	4039
43	182	3962
44	183	3889
45	184	3819
46	185	3752
47	185	3687
48	186	3625
49	187	3566
50	188	3509
51	189	3454
52	190	3401
53	191	3350
54	192	3300
55	193	3253
56	194	3214
57	195	3175
58	196	3134
59	197	3094
60	198	3054
61	199	3015
62	200	2977
63	201	2940
64	201	2905
65	202	2871
66	203	2837
67	204	2799
68	205	2767
69	205	2736
70	206	2706
71	207	2677
72	208	2651
73	209	2626
74	210	2600
75	211	2574
76	212	2548
77	213	2523
78	214	2499
79	215	2475
80	216	2452
81	217	2429
82	217	2407
83	218	2386
84	219	2361
85	220	2341
86	220	2318
87	221	2298
88	222	2279
89	223	2262
90	224	2246
91	225	2229
92	226	2211
93	227	2194
94	228	2177
95	229	2160
96	230	2144
97	231	2127
98	232	2112
99	232	2096
100	233	2081
101	234	2062
102	235	2047
103	236	2033
104	236	2019
105	237	2006
106	238	1992
107	239	1979
108	240	1966
109	241	1953
110	242	1941
111	243	1928
112	244	1916
113	245	1904
114	245	1892
115	246	1879
116	247	1870
117	249	1861
118	249	1850
119	250	1840
120	252	1831
121	252	1820
122	253	1807
123	254	1796
124	255	1786
125	256	1776
126	257	1766
127	257	1754
128	258	1745
129	259	1735
130	260	1726
131	261	1717
132	262	1708
133	262	1699
134	263	1690
135	264	1683
136	266	1675
137	266	1666
138	267	1658
139	268	1650
140	269	1642
141	270	1634
142	271	1626
143	272	1618
144	273	1610
145	274	1603
146	274	1595
147	275	1588
148	276	1580
149	277	1573
150	278	1566
151	279	1559
152	280	1552
153	281	1545
154	282	1538
155	283	1531
156	284	1525
157	285	1519
158	285	1512
159	286	1506
160	287	1499
161	288	1493
162	289	1487
163	290	1480
164	291	1474
165	292	1468
166	293	1462
167	294	1456
168	295	1450
169	295	1444
170	296	1438
171	297	1433
172	298	1427
173	299	1421
174	300	1416
175	301	1410
176	302	1405
177	303	1400
178	304	1394
179	304	1389
180	305	1382
181	306	1376
182	307	1371
183	308	1367
184	309	1363
185	310	1360
186	312	1356
187	312	1351
188	313	1346
189	314	1341
190	315	1336
191	316	1332
192	317	1327
193	318	1322
194	319	1317
195	320	1313
196	321	1308
197	321	1303
198	322	1299
199	323	1294
200	324	1289
201	325	1285
202	326	1280
203	327	1276
204	328	1272
205	328	1267
206	329	1263
207	330	1258
208	331	1254
209	332	1250
210	333	1246
211	334	1242
212	335	1238
213	336	1234
214	337	1231
215	338	1227
216	339	1223
217	339	1219
218	340	1215
219	341	1211
220	342	1207
221	343	1203
222	344	1199
223	345	1196
224	346	1192
225	347	1188
226	347	1185
227	348	1181
228	349	1177
229	350	1173
230	351	1170
231	352	1166
232	353	1162
233	354	1159
234	355	1155
235	355	1152
236	356	1148
237	357	1145
238	358	1141
239	359	1138
240	360	1135
241	361	1131
242	362	1128
243	363	1124
244	363	1121
245	365	1119
246	366	1117
247	367	1114
248	368	1111
249	369	1108
250	370	1105
251	371	1102
252	372	1099
253	373	1095
254	374	1092
255	374	1089
256	375	1086
257	376	1083
258	377	1080
259	378	1077
260	379	1075
261	380	1072
262	381	1068
263	382	1065
264	383	1062
265	384	1059
266	384	1056
267	385	1054
268	386	1051
269	387	1048
270	388	1045
271	389	1042
272	390	1039
273	391	1036
274	392	1033
275	393	1031
276	393	1028
277	394	1025
278	395	1022
279	396	1019
280	397	1016
281	398	1014
282	399	1011
283	400	1008
284	401	1006
285	401	1003
286	402	1000
287	403	997
288	404	995
289	405	992
290	406	990
291	407	987
292	408	985
293	409	982
294	410	979
295	410	977
296	411	974
297	412	972
298	413	969
299	414	967
300	415	964
301	416	962
302	417	959
303	418	957
304	418	954
305	419	952
306	420	949
307	421	947
308	422	945
309	423	943
310	424	940
311	425	938
312	426	935
313	427	933
314	428	931
315	429	928
316	429	926
317	430	923
318	431	921
319	432	919
320	433	916
321	434	914
322	435	912
323	436	910
324	437	908
325	438	906
326	439	904
327	440	901
328	441	899
329	441	897
330	442	895
331	443	892
332	444	890
333	445	888
334	446	886
335	447	883
336	448	881
337	449	879
338	450	877
339	451	875
340	452	874
341	453	872
342	454	870
343	455	868
344	456	866
345	457	864
346	458	863
347	459	861
348	460	859
349	461	857
350	462	855
351	463	853
352	464	852
353	466	850
354	467	848
355	467	846
356	468	844
357	469	842
358	470	840
359	471	838
360	472	836
361	473	834
362	474	832
363	475	830
364	476	828
365	477	826
366	478	824
367	479	823
